Name,ReleaseDate,Certificate,Rating,Runtime,Director,Genre,Grossing
Gone With the Wind,"Dec 15, 1939",G,3.9/5,222 minutes,"Victor Fleming,George Cukor,Sam Wood","Classics,Drama,Romance",
Dracula,"Jan 1, 1931",NR,3.7/5,75 minutes,Tod Browning,"Classics,Horror",
It Happened One Night,"Feb 22, 1934",NR,4.2/5,105 minutes,Frank Capra,"Classics,Comedy,Romance",
The Rules of the Game (La règle du jeu),"Apr 8, 1950",NR,4.3/5,110 minutes,Jean Renoir,"Art House & International,Comedy,Drama",
The Lady Vanishes,"Nov 1, 1938",PG,4/5,99 minutes,Alfred Hitchcock,"Classics,Mystery & Suspense",
The Adventures of Robin Hood,"May 14, 1938",PG,3.7/5,102 minutes,"Michael Curtiz,William Keighley","Action & Adventure,Classics,Romance",
The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),"Feb 26, 1920",NR,4.1/5,52 minutes,Robert Wiene,"Art House & International,Classics,Cult Movies,Horror,Mystery & Suspense",
Snow White and the Seven Dwarfs,"Dec 21, 1937",G,3.4/5,83 minutes,"David Hand,William Cottrell,David D. Hand,Wilfred Jackson,Larry Morey,Perce Pearce,Ben Sharpsteen,Dick Richard,Webb Smith,Dorothy Ann Blank,Merrill de Maris,Walt Disney,Richard Creedon","Animation,Classics,Kids & Family,Science Fiction & Fantasy",
The 39 Steps,"Aug 1, 1935",NR,3.9/5,87 minutes,Alfred Hitchcock,"Action & Adventure,Classics,Mystery & Suspense",
Freaks,"Feb 20, 1932",NR,4/5,64 minutes,Tod Browning,"Classics,Drama,Horror,Mystery & Suspense",
Metropolis,"Mar 13, 1927",PG-13,4.1/5,115 minutes,Fritz Lang,"Action & Adventure,Art House & International,Classics,Drama,Science Fiction & Fantasy","$529,603"
All Quiet on the Western Front,"Aug 24, 1930",PG,3.9/5,134 minutes,Lewis Milestone,"Classics,Drama",
Fantasia,"Nov 13, 1940",G,3.6/5,116 minutes,"James Algar,Samuel Armstrong,Ford Beebe,Walt Disney,Norman Ferguson,Jim Handley,Wilfred Jackson,Hamilton Luske,Bill Roberts,Paul Satterfield,Sylvia Moberly-Holland,T. Hee,Graham Heid,Norman Wright,Albert Heath,Ben Sharpsteen,Bianca Majolie","Animation,Classics,Kids & Family,Musical & Performing Arts,Science Fiction & Fantasy",
His Girl Friday,"Jan 18, 1940",PG,4/5,92 minutes,Howard Hawks,"Classics,Comedy,Drama",
Pinocchio,"Feb 7, 1940",G,3.3/5,88 minutes,"Hamilton Luske,Ben Sharpsteen,Walt Disney,Wilfred Jackson,Jack Kinney,T. Hee,Bill Roberts,Norman Ferguson","Animation,Kids & Family,Musical & Performing Arts,Science Fiction & Fantasy",
The Philadelphia Story,"Dec 1, 1940",NR,4.2/5,112 minutes,George Cukor,"Classics,Comedy,Romance",
The Grapes of Wrath,"Mar 15, 1940",G,3.9/5,129 minutes,John Ford,"Classics,Drama",
Double Indemnity,"Sep 6, 1944",NR,4.2/5,107 minutes,Billy Wilder,Drama,
Mildred Pierce,"Oct 20, 1945",NR,4.1/5,113 minutes,Michael Curtiz,"Classics,Drama,Mystery & Suspense",
The Lady From Shanghai,"Jun 9, 1948",NR,3.8/5,87 minutes,Orson Welles,"Classics,Drama,Mystery & Suspense",
Citizen Kane,"May 1, 1941",PG,4.1/5,119 minutes,Orson Welles,"Classics,Drama,Mystery & Suspense",
Rope,"Aug 23, 1948",PG,4/5,80 minutes,Alfred Hitchcock,"Classics,Drama,Mystery & Suspense",
How Green Was My Valley,"Jan 1, 1941",NR,3.9/5,118 minutes,John Ford,"Classics,Drama,Kids & Family",
Dumbo,"Oct 23, 1941",G,3.3/5,63 minutes,"Sam Armstrong,Jack Kinney,Norman Ferguson,Wilfred Jackson,Bill Roberts,Ben Sharpsteen,Samuel Armstrong","Animation,Kids & Family,Science Fiction & Fantasy",
Miracle on 34th Street,"Jan 1, 1947",NR,3.6/5,96 minutes,George Seaton,"Classics,Drama,Kids & Family,Science Fiction & Fantasy,Special Interest,Romance",
Laura,,,4.1/5,,,,
It's a Wonderful Life,"Dec 25, 1946",PG,4/5,135 minutes,Frank Capra,"Classics,Drama,Kids & Family,Science Fiction & Fantasy",
Open City,"Feb 25, 1946",NR,4.2/5,103 minutes,Roberto Rossellini,"Art House & International,Drama",
The Best Years of Our Lives,"Nov 21, 1946",NR,4.2/5,170 minutes,William Wyler,"Classics,Drama,Romance",
The Red Shoes,"Sep 6, 1948",R,4.2/5,136 minutes,"Michael Powell,Emeric Pressburger","Classics,Drama,Musical & Performing Arts,Romance",
The Treasure of the Sierra Madre,"Jan 7, 1948",NR,4.2/5,126 minutes,John Huston,"Action & Adventure,Classics,Drama,Western",
Rebecca,"Mar 27, 1940",NR,4.1/5,130 minutes,Alfred Hitchcock,"Classics,Drama,Mystery & Suspense",
The Quiet Man,"Aug 14, 1952",G,4.1/5,129 minutes,John Ford,"Classics,Comedy,Drama,Romance",
The Maltese Falcon,"Oct 18, 1941",PG,4.1/5,101 minutes,John Huston,"Drama,Mystery & Suspense",
Singin' in the Rain,"Jan 1, 1952",G,4/5,102 minutes,"Stanley Donen,Gene Kelly","Classics,Comedy,Musical & Performing Arts,Romance",
An American in Paris,"Oct 4, 1951",G,3.7/5,115 minutes,Vincente Minnelli,"Classics,Musical & Performing Arts,Romance",
The African Queen,"Dec 23, 1951",PG,3.9/5,105 minutes,John Huston,"Action & Adventure,Classics,Drama,Romance",
The Big Sleep,"Aug 31, 1946",PG,4.1/5,116 minutes,Howard Hawks,"Classics,Drama,Mystery & Suspense",
Rashômon,"Dec 26, 1951",NR,4.3/5,83 minutes,Akira Kurosawa,"Art House & International,Classics,Drama,Mystery & Suspense",
Bicycle Thieves (Ladri di biciclette),"Dec 13, 1949",NR,4.3/5,90 minutes,Vittorio De Sica,Drama,
Gentlemen Prefer Blondes,"Jul 15, 1953",G,3.7/5,91 minutes,Howard Hawks,"Classics,Comedy,Musical & Performing Arts,Romance",
Strangers on a Train,"Jul 3, 1951",PG,4.1/5,101 minutes,Alfred Hitchcock,Mystery & Suspense,
The Third Man,"Sep 3, 1949",NR,4.3/5,104 minutes,Carol Reed,"Classics,Mystery & Suspense",
Beauty and The Beast (La Belle et la bête),"Jan 1, 1946",NR,3.9/5,120 minutes,Jean Cocteau,"Drama,Science Fiction & Fantasy,Romance",
High Noon,"Jul 24, 1952",PG,4/5,85 minutes,Fred Zinnemann,"Mystery & Suspense,Western",
Roman Holiday,"Sep 2, 1953",NR,4.1/5,118 minutes,William Wyler,"Classics,Comedy,Drama,Romance",
The Day the Earth Stood Still,"Jan 1, 1951",G,3.9/5,92 minutes,Robert Wise,"Classics,Drama,Science Fiction & Fantasy",
Tokyo Story (Tôkyô monogatari),"Nov 3, 1953",G,4.4/5,134 minutes,Yasujiro Ozu,"Art House & International,Drama",
The Wages of Fear,"Jan 1, 1953",NR,4.4/5,138 minutes,Henri-Georges Clouzot,"Art House & International,Drama,Mystery & Suspense",
A Streetcar Named Desire,"Sep 19, 1951",PG,4/5,122 minutes,Elia Kazan,"Classics,Drama",
Bambi,"Aug 21, 1942",G,3.4/5,69 minutes,"David Hand,Samuel Armstrong,Bill Roberts,James Algar,Graham Heid,Paul Satterfield,David D. Hand,Norman Wright,Perce Pearce","Animation,Classics,Kids & Family,Science Fiction & Fantasy",
Sunset Boulevard,"Aug 4, 1950",G,4.3/5,111 minutes,Billy Wilder,"Classics,Drama",
To Be or Not to Be,"Mar 6, 1942",PG,4.2/5,90 minutes,Ernst Lubitsch,"Classics,Comedy,Drama",
From Here to Eternity,"Aug 5, 1953",G,3.8/5,118 minutes,Fred Zinnemann,"Classics,Drama,Romance",
All About Eve,"Jan 1, 1950",PG,4.3/5,138 minutes,Joseph L. Mankiewicz,"Classics,Drama",
Brief Encounter,"Nov 26, 1945",NR,4.2/5,86 minutes,David Lean,"Classics,Drama,Romance",
Casablanca,"Nov 26, 1942",PG,4.1/5,102 minutes,Michael Curtiz,"Classics,Drama,Romance",
Cat People,,,3.6/5,,,,
Lady and the Tramp,"Jun 22, 1955",G,3.5/5,76 minutes,"Hamilton Luske,Clyde Geronimi,Wilfred Jackson","Animation,Drama,Kids & Family",
The Seventh Seal (Det Sjunde inseglet),"Feb 16, 1957",NR,4.3/5,96 minutes,Ingmar Bergman,"Action & Adventure,Art House & International,Classics,Drama,Science Fiction & Fantasy",
Wild Strawberries,"Dec 26, 1957",NR,4.3/5,90 minutes,Ingmar Bergman,Drama,
Johnny Guitar,"May 26, 1954",PG,4/5,110 minutes,Nicholas Ray,"Action & Adventure,Classics,Drama,Musical & Performing Arts,Western",
Dial M for Murder,"May 29, 1954",PG,3.9/5,106 minutes,Alfred Hitchcock,"Classics,Mystery & Suspense",
L'Avventura,"Jun 29, 1960",NR,4.2/5,145 minutes,Michelangelo Antonioni,"Art House & International,Classics,Drama,Mystery & Suspense",
To Kill A Mockingbird,"Dec 25, 1962",NR,3.9/5,130 minutes,Robert Mulligan,"Classics,Drama",
Breakfast at Tiffany's,"Oct 5, 1961",NR,3.9/5,115 minutes,Blake Edwards,"Classics,Comedy,Drama,Romance",
Ben-Hur,"Nov 18, 1959",G,3.8/5,222 minutes,William Wyler,"Action & Adventure,Classics,Drama,Romance",
Band of Outsiders (Bande à part),"Mar 15, 1964",NR,4.2/5,97 minutes,"Jean-Luc Goddard,Jean-Luc Godard","Art House & International,Drama","$37,651"
Peeping Tom,,,3.9/5,,,,
White Christmas,"Jan 1, 1954",G,3.8/5,120 minutes,Michael Curtiz,"Classics,Kids & Family,Musical & Performing Arts,Special Interest",
Mafioso,"Jun 30, 1964",NR,3.9/5,105 minutes,Alberto Lattuada,"Art House & International,Comedy,Drama",
A Fistful of Dollars (Per un Pugno di Dollari),"Sep 12, 1964",R,3.9/5,101 minutes,Sergio Leone,"Action & Adventure,Art House & International,Classics,Western",
My Fair Lady,"Oct 21, 1964",G,3.7/5,170 minutes,George Cukor,"Kids & Family,Musical & Performing Arts",
Goldfinger,"Sep 17, 1964",PG,3.6/5,117 minutes,Guy Hamilton,"Action & Adventure,Classics,Mystery & Suspense",
The Magnificent Seven,"Jan 1, 1960",R,3.8/5,126 minutes,John Sturges,"Action & Adventure,Classics,Drama,Western",
Spartacus,"Oct 7, 1960",PG-13,3.8/5,184 minutes,Stanley Kubrick,"Action & Adventure,Classics,Drama",
You Only Live Twice,"Jun 13, 1967",PG,3.4/5,125 minutes,Lewis Gilbert,"Action & Adventure,Mystery & Suspense",
Contempt,"Dec 18, 1964",PG,4.1/5,102 minutes,Jean-Luc Godard,"Art House & International,Comedy,Drama","$39,199"
Bonnie and Clyde,"Aug 13, 1967",R,3.8/5,111 minutes,Arthur Penn,"Action & Adventure,Classics,Drama",
From Russia With Love,"Apr 8, 1964",PG,3.6/5,125 minutes,Terence Young,"Action & Adventure,Classics,Mystery & Suspense",
The Apartment,"Jun 15, 1960",NR,4.2/5,125 minutes,Billy Wilder,"Classics,Comedy,Drama,Romance",
The Graduate,"Dec 21, 1967",PG,3.8/5,106 minutes,Mike Nichols,"Classics,Comedy,Drama,Romance",
Blow-Up,"Dec 18, 1966",NR,3.9/5,111 minutes,Michelangelo Antonioni,"Drama,Mystery & Suspense",
Cool Hand Luke,"Jan 1, 1967",PG,4.1/5,126 minutes,Stuart Rosenberg,"Classics,Drama",
Persona,"Oct 18, 1966",NR,4.4/5,81 minutes,Ingmar Bergman,Drama,
Masculin Feminin,"Sep 19, 1966",NR,4.1/5,103 minutes,Jean-Luc Godard,"Art House & International,Classics,Drama,Romance",
The Battle of Algiers (La Battaglia di Algeri),"Sep 20, 1967",NR,4.4/5,123 minutes,Gillo Pontecorvo,"Art House & International,Drama","$55,908"
Who's Afraid of Virginia Woolf?,"Jun 22, 1966",R,4.1/5,127 minutes,Mike Nichols,"Classics,Drama",
In the Heat of the Night,"Aug 2, 1967",G,3.9/5,109 minutes,Norman Jewison,"Classics,Drama,Mystery & Suspense",
Au Hasard Balthazar,,,4.2/5,,,,
Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb,"Jan 29, 1964",PG,4.2/5,95 minutes,Stanley Kubrick,"Classics,Comedy,Science Fiction & Fantasy",
Mary Poppins,"Aug 26, 1964",G,3.5/5,139 minutes,Robert Stevenson,"Classics,Comedy,Kids & Family,Musical & Performing Arts,Science Fiction & Fantasy",
The Umbrellas of Cherbourg (Les Parapluies de Cherbourg),"Dec 16, 1964",G,4.1/5,90 minutes,Jacques Demy,"Art House & International,Drama,Musical & Performing Arts,Romance",
"The Good, the Bad and the Ugly","Dec 23, 1966",R,4/5,161 minutes,Sergio Leone,Western,
A Hard Day's Night,"Aug 11, 1964",G,3.9/5,87 minutes,Richard Lester,"Classics,Comedy,Musical & Performing Arts",
Thunderball,"Dec 20, 1965",PG,3.5/5,125 minutes,Terence Young,"Action & Adventure,Classics,Drama,Mystery & Suspense",
Repulsion,"Oct 3, 1965",NR,4/5,104 minutes,Roman Polanski,"Classics,Drama,Horror,Mystery & Suspense",
The Great Escape,"Jul 4, 1963",NR,4/5,170 minutes,John Sturges,"Action & Adventure,Classics,Drama",
Alphaville,,,3.9/5,,,,
The Sound of Music,"Mar 2, 1965",G,3.6/5,174 minutes,Robert Wise,"Classics,Drama,Kids & Family,Musical & Performing Arts",
Chimes at Midnight,"Dec 22, 1965",NR,4.2/5,115 minutes,Orson Welles,"Comedy,Drama",
The Leopard,"Jul 15, 1963",PG,4.2/5,205 minutes,Luchino Visconti,"Art House & International,Classics,Drama",
Dr. No,"Oct 5, 1962",PG,3.6/5,111 minutes,Terence Young,"Action & Adventure,Classics,Mystery & Suspense",
Eyes Without a Face,"Oct 24, 1962",NR,4/5,84 minutes,Georges Franju,"Art House & International,Drama,Horror,Mystery & Suspense",
The Man Who Shot Liberty Valance,"May 28, 1962",G,4/5,123 minutes,John Ford,"Action & Adventure,Classics,Western",
What Ever Happened to Baby Jane?,"Oct 31, 1962",NR,4/5,132 minutes,Robert Aldrich,"Classics,Cult Movies,Drama,Horror,Mystery & Suspense",
L'année dernière à Marienbad (Last Year at Marienbad),"Jun 25, 1961",NR,4.1/5,93 minutes,"Alain Resnais,Alain Robbe-Grillet","Science Fiction & Fantasy,Special Interest",
Doctor Zhivago,"Dec 22, 1965",PG-13,3.9/5,193 minutes,,"Classics,Drama,Television,Romance",
Lawrence of Arabia,"Dec 16, 1962",PG,4.2/5,222 minutes,David Lean,"Action & Adventure,Classics,Drama",
Lolita,"Jun 13, 1962",NR,3.7/5,152 minutes,Stanley Kubrick,"Classics,Comedy,Drama",
West Side Story,"Oct 18, 1961",PG,3.5/5,151 minutes,"Robert Wise,Jerome Robbins","Drama,Musical & Performing Arts,Romance",
101 Dalmatians,"Jan 25, 1961",G,3.3/5,79 minutes,"Clyde Geronimi,Hamilton S. Luske,Wolfgang Reitherman,Hamilton Luske","Animation,Classics,Comedy,Kids & Family,Mystery & Suspense",
The Hustler,"Sep 25, 1961",NR,4/5,134 minutes,Robert Rossen,"Drama,Romance",
Jason and the Argonauts,"Jun 19, 1963",G,3.5/5,104 minutes,Don Chaffey,"Action & Adventure,Classics,Kids & Family,Science Fiction & Fantasy",
The Birds,"Mar 28, 1963",PG-13,3.6/5,119 minutes,Alfred Hitchcock,"Classics,Horror,Mystery & Suspense",
8 1/2,"Jun 25, 1963",NR,4.3/5,135 minutes,Federico Fellini,"Art House & International,Drama,Science Fiction & Fantasy",
Some Like It Hot,"Mar 29, 1959",G,4.1/5,120 minutes,"John Huston,Billy Wilder","Classics,Comedy,Drama,Musical & Performing Arts",
The Manchurian Candidate,"Oct 24, 1962",PG-13,3.9/5,127 minutes,John Frankenheimer,"Classics,Drama,Mystery & Suspense",
Breathless,"Feb 7, 1961",R,4.1/5,90 minutes,Jean-Luc Godard,Drama,"$363,030"
The 400 Blows (Les Quatre cents coups),"Nov 16, 1959",NR,4.3/5,97 minutes,François Truffaut,"Art House & International,Classics,Drama",
Psycho,"Jun 16, 1960",R,3.9/5,109 minutes,Alfred Hitchcock,"Classics,Horror,Mystery & Suspense",
The Innocents,"Dec 25, 1961",NR,4/5,100 minutes,Jack Clayton,Horror,
Rio Bravo,"Apr 4, 1959",R,4/5,142 minutes,Howard Hawks,"Action & Adventure,Classics,Western",
Gojira,"Jan 1, 1956",NR,4.2/5,98 minutes,Ishir Honda,"Action & Adventure,Art House & International,Horror,Science Fiction & Fantasy","$2,340"
Rififi (Du Rififi Chez les Hommes),"Jun 5, 1956",NR,4.3/5,115 minutes,Jules Dassin,"Art House & International,Drama","$57,226"
Giant,"Nov 24, 1956",G,3.9/5,197 minutes,George Stevens,"Classics,Drama,Western,Romance",
The Searchers,"Mar 13, 1956",PG,4/5,119 minutes,John Ford,"Action & Adventure,Classics,Drama,Western",
La Dolce Vita,,,4.2/5,,,,
Forbidden Planet,"Mar 15, 1956",G,3.8/5,98 minutes,"Fred Wilcox,Fred McLeod Wilcox","Classics,Drama,Mystery & Suspense,Science Fiction & Fantasy",
Anatomy of a Murder,"Jul 1, 1959",G,4.1/5,160 minutes,Otto Preminger,"Classics,Drama,Mystery & Suspense",
The Bridge on the River Kwai,"Oct 2, 1957",PG,4/5,161 minutes,David Lean,"Action & Adventure,Classics,Drama",
Sweet Smell of Success,"Jun 27, 1957",NR,4.1/5,96 minutes,Alexander Mackendrick,"Classics,Drama",
Vertigo,"Jan 1, 1958",PG,4.2/5,128 minutes,Alfred Hitchcock,"Classics,Drama,Mystery & Suspense,Romance",
Seven Samurai (Shichinin no Samurai),"Nov 19, 1956",G,4.5/5,204 minutes,Akira Kurosawa,"Action & Adventure,Art House & International,Classics,Drama",
Paths of Glory,"Dec 25, 1957",G,4.2/5,86 minutes,Stanley Kubrick,"Action & Adventure,Classics,Drama",
Throne of Blood,"Jan 1, 1957",NR,4.3/5,105 minutes,Akira Kurosawa,"Action & Adventure,Art House & International,Classics,Drama",
North by Northwest,"Sep 17, 1959",NR,4.2/5,136 minutes,Alfred Hitchcock,"Classics,Mystery & Suspense",
Elevator to the Gallows (Ascenseur pour l'échafaud),,,4.2/5,,,,
To Catch a Thief,"Aug 4, 1955",PG,3.8/5,106 minutes,Alfred Hitchcock,"Classics,Mystery & Suspense,Romance",
The Night of the Hunter,"Jan 1, 1955",PG,4.2/5,93 minutes,Charles Laughton,"Drama,Mystery & Suspense",
Pather Panchali,"Sep 22, 1955",NR,4.4/5,126 minutes,Satyajit Ray,"Art House & International,Drama",
12 Angry Men (Twelve Angry Men),"Apr 13, 1957",NR,4.2/5,95 minutes,Sidney Lumet,"Classics,Drama",
On the Waterfront,"Jul 28, 1954",NR,4.2/5,108 minutes,Elia Kazan,"Classics,Drama,Romance",
Rebel Without a Cause,"Oct 27, 1955",PG-13,3.9/5,111 minutes,Nicholas Ray,"Classics,Drama",
Invasion of the Body Snatchers,"Jan 1, 1956",PG,3.7/5,80 minutes,Don Siegel,"Classics,Mystery & Suspense,Science Fiction & Fantasy",
Touch of Evil,"May 21, 1958",PG-13,4.2/5,95 minutes,Orson Welles,"Classics,Drama,Mystery & Suspense",
Diabolique (Les Diaboliques),"Jan 1, 1955",NR,4.2/5,107 minutes,Henri-Georges Clouzot,Mystery & Suspense,
Rear Window,"Sep 1, 1954",PG,4.2/5,115 minutes,Alfred Hitchcock,"Classics,Drama,Mystery & Suspense",
Pink Flamingos,"Mar 17, 1972",NC17,3.5/5,95 minutes,John Waters,Comedy,
Live and Let Die,"Jun 27, 1973",PG,3.3/5,121 minutes,Guy Hamilton,"Action & Adventure,Mystery & Suspense",
The Man with the Golden Gun,"Dec 18, 1974",PG,3.3/5,123 minutes,Guy Hamilton,"Action & Adventure,Drama",
Blazing Saddles,"Feb 7, 1974",R,3.9/5,93 minutes,Mel Brooks,"Classics,Comedy,Western",
F for Fake,,,4.1/5,,,,
Young Frankenstein,"Dec 15, 1974",PG,3.9/5,108 minutes,Mel Brooks,"Classics,Comedy,Horror,Science Fiction & Fantasy",
The Conversation,"Apr 7, 1974",PG,4.1/5,113 minutes,Francis Ford Coppola,"Drama,Mystery & Suspense",
Grease,"Jun 1, 1978",PG,3.7/5,110 minutes,Randal Kleiser,"Comedy,Musical & Performing Arts,Romance",
National Lampoon's Animal House,"Jun 1, 1978",R,3.8/5,109 minutes,John Landis,Comedy,
Amarcord,"Sep 19, 1974",R,4.2/5,125 minutes,Federico Fellini,"Art House & International,Comedy,Drama",
Duel,"Jan 1, 1972",PG,3.7/5,90 minutes,Steven Spielberg,"Mystery & Suspense,Television",
Days of Heaven,"Sep 13, 1978",PG,4.1/5,93 minutes,Terrence Malick,Drama,
The Lord of the Rings,"Nov 15, 1978",PG,3.7/5,132 minutes,Ralph Bakshi,"Animation,Drama,Kids & Family,Science Fiction & Fantasy",
Star Wars: Episode VI - Return of the Jedi,"May 25, 1983",PG,4.1/5,133 minutes,Richard Marquand,"Action & Adventure,Drama,Science Fiction & Fantasy",
The Spy Who Loved Me,"Jul 13, 1977",PG,3.4/5,125 minutes,Lewis Gilbert,"Action & Adventure,Mystery & Suspense",
Clash of the Titans,"Jun 12, 1981",PG,3.4/5,118 minutes,Desmond Davis,"Action & Adventure,Drama,Science Fiction & Fantasy",
Excalibur,"Apr 10, 1981",R,3.5/5,140 minutes,John Boorman,"Action & Adventure,Science Fiction & Fantasy",
Superman II,"Jun 19, 1981",PG,3.2/5,127 minutes,"Richard Lester,Richard Donner","Action & Adventure,Science Fiction & Fantasy",
Friday the 13th Part 2,"May 1, 1981",R,3.1/5,87 minutes,Steve Miner,Horror,
Mommie Dearest,"Sep 18, 1981",PG,3.6/5,129 minutes,Frank Perry,"Drama,Special Interest",
For Your Eyes Only,"Jun 26, 1981",PG,3.3/5,127 minutes,John Glen,"Action & Adventure,Mystery & Suspense",
Chariots of Fire,"Sep 25, 1981",PG,3.6/5,124 minutes,Hugh Hudson,"Art House & International,Drama,Sports & Fitness",
Invasion of the Body Snatchers,"Dec 22, 1978",PG,3.4/5,115 minutes,Philip Kaufman,"Horror,Mystery & Suspense,Science Fiction & Fantasy",
The Texas Chainsaw Massacre,"Oct 1, 1974",R,3.4/5,83 minutes,Tobe Hooper,"Classics,Horror",
Revenge of the Nerds,"Jul 20, 1984",R,3.3/5,90 minutes,Jeff Kanew,Comedy,
Purple Rain,"Jan 1, 1984",R,3.4/5,111 minutes,Albert Magnoli,"Drama,Musical & Performing Arts,Romance",
Star Trek III - The Search for Spock,"Jun 1, 1984",PG,3.3/5,105 minutes,Leonard Nimoy,"Action & Adventure,Science Fiction & Fantasy",
Gremlins,"Jun 1, 1984",PG,3.4/5,120 minutes,Joe Dante,"Comedy,Horror,Science Fiction & Fantasy",
Indiana Jones and the Temple of Doom,"May 23, 1984",PG,3.8/5,118 minutes,Steven Spielberg,Action & Adventure,
The Neverending Story,"Jul 20, 1984",PG,3.5/5,94 minutes,Wolfgang Petersen,"Kids & Family,Science Fiction & Fantasy",
The Karate Kid,"Jun 22, 1984",PG,3.3/5,122 minutes,John G. Avildsen,"Drama,Kids & Family",
Romancing the Stone,"Mar 30, 1984",PG,3.2/5,110 minutes,Robert Zemeckis,Action & Adventure,
Beverly Hills Cop,"Dec 1, 1984",R,3.4/5,105 minutes,Martin Brest,"Action & Adventure,Comedy,Mystery & Suspense",
A Nightmare on Elm Street,"Jun 1, 1984",R,3.5/5,91 minutes,Wes Craven,"Horror,Mystery & Suspense",
Once Upon a Time in America,"Jun 1, 1984",R,4.2/5,144 minutes,Sergio Leone,Drama,
The Killing Fields,"Nov 2, 1984",R,4/5,143 minutes,Roland Joffé,"Art House & International,Drama",
Dune,"Dec 14, 1984",PG-13,3.3/5,137 minutes,David Lynch,Science Fiction & Fantasy,
This Is Spinal Tap,"Mar 2, 1984",R,4/5,83 minutes,Rob Reiner,Comedy,
Amadeus,"Sep 6, 1984",R,3.9/5,158 minutes,Milos Forman,"Drama,Musical & Performing Arts",
The Terminator,"Oct 26, 1984",R,3.6/5,108 minutes,James Cameron,"Action & Adventure,Science Fiction & Fantasy",
Blood Simple,"Sep 1, 1984",R,3.9/5,97 minutes,Joel Coen,"Drama,Mystery & Suspense",
Ghostbusters (1984 Original),"Jun 8, 1984",PG,3.6/5,105 minutes,Ivan Reitman,"Action & Adventure,Comedy,Science Fiction & Fantasy",
Blow Out,"Jan 1, 1981",R,3.7/5,107 minutes,Brian DePalma,Mystery & Suspense,
An American Werewolf in London,"Aug 21, 1981",R,3.4/5,97 minutes,John Landis,"Comedy,Horror,Science Fiction & Fantasy",
Time Bandits,"Nov 6, 1981",PG,3.5/5,110 minutes,Terry Gilliam,"Action & Adventure,Science Fiction & Fantasy",
Repo Man,"Mar 2, 1984",R,3.4/5,93 minutes,Alex Cox,"Comedy,Science Fiction & Fantasy",
Raiders of the Lost Ark,"Jun 12, 1981",PG,4.1/5,115 minutes,Steven Spielberg,Action & Adventure,
Splash,"Mar 9, 1984",PG,3/5,111 minutes,Ron Howard,"Comedy,Science Fiction & Fantasy,Romance",
Fast Times At Ridgemont High,"Aug 13, 1982",R,3.5/5,90 minutes,Amy Heckerling,"Comedy,Drama",
Das Boot,"Sep 17, 1981",R,4.2/5,145 minutes,Wolfgang Petersen,Drama,
