correct_label,,ltable.Certificate,ltable.Director,ltable.Genre,ltable.Grossing,ltable.Name,ltable.Rating,ltable.ReleaseDate,ltable.Runtime,ltable.Up_System,ltable._id,rtable.Certificate,rtable.Director,rtable.Genre,rtable.Grossing,rtable.Name,rtable.Rating,rtable.ReleaseDate,rtable.Runtime,rtable.Up_System,rtable._id
0,27,Approved,Mervyn LeRoy,"Crime, Drama, Horror",,The Bad Seed,7.5,12 September 1956 (USA),129 min,CM,1530,,,,,Ghost in the Shell,5-Apr,,,CM,1059
0,28,Not Rated,John Sturges,"Adventure, Drama, History","$12,100,000 ",The Great Escape,8.2,4 July 1963 (USA),172 min,CM,1783,,,,,Girl on the Bridge (La Fille sur le Pont),4.1/5,,,CM,814
0,29,PG,Shawn Levy,"Adventure, Comedy, Family",,Night at the Museum,6.4,22 December 2006 (USA),108 min,CM,228,,,,,The Prodigy,5-Mar,,,CM,2095
1,30,PG,Nicholas Meyer,"Action, Adventure, Sci-Fi","$74,888,996 ",Star Trek VI: The Undiscovered Country,7.2,6 December 1991 (USA),110 min,CM,623,PG,Nicholas Meyer,"Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy",,Star Trek VI - The Undiscovered Country,3.5/5,3-Dec-91,109 minutes,CM,1335
0,31,PG,Steven Spielberg,"Drama, History, War","$22,238,696 ",Empire of the Sun,7.8,25 December 1987 (USA),153 min,CM,599,,,,,The Circle (Dayereh),3.7/5,,,CM,929
0,32,R,Peter Bogdanovich,Drama,"$29,133,000 ",The Last Picture Show,8.1,22 October 1971 (USA),118 min,CM,1114,,,,,The Beach Bum,2.2/5,,,CM,2109
0,33,Not Rated,"Fred Niblo, Charles Brabin, 3 more credits","Adventure, Drama, Romance","$12,449,980 ",Ben-Hur: A Tale of the Christ,8,8 October 1927 (USA),143 min,CM,2498,NR,Susan Johnson,"Drama,Romance",,To All the Boys I've Loved Before,4.4/5,,120 minutes,CM,2202
0,34,PG-13,Marc Webb,"Action, Adventure, Sci-Fi","$202,853,933 ",The Amazing Spider-Man 2,6.6,2 May 2014 (USA),142 min,CM,408,,,,,The Wedding Guest,3.7/5,,,CM,2096
0,35,Approved,Mark Robson,"Drama, Horror, Mystery",,The Seventh Victim,6.9,21 August 1943 (USA),71 min,CM,1922,,,,,The LEGO Movie 2: The Second Part,3.7/5,,,CM,2173
0,36,Approved,Henry King,"Biography, Drama",,The Song of Bernadette,7.7,April 1945 (USA),156 min,CM,1924,,,,,The Circle (Dayereh),3.7/5,,,CM,929
0,37,PG,Michael Gracey,"Biography, Drama, Musical","$174,340,174 ",The Greatest Showman,7.6,20 December 2017 (USA),105 min,CM,460,,,,,The Wind,5-Mar,,,CM,2133
0,38,PG-13,John Frankenheimer,"Drama, Thriller",,The Manchurian Candidate,8,24 October 1962 (USA),126 min,CM,1719,,,,,The Upside,4.2/5,,,CM,2108
0,39,PG-13,Stephen Chbosky,Drama,,The Perks of Being a Wallflower,8,12 October 2012 (USA),103 min,CM,440,,,,,The Image Book (Le livre d'image),2.9/5,,,CM,2159
0,40,Approved,"John Cromwell, W.S. Van Dyke","Adventure, Drama, Romance",,The Prisoner of Zenda,7.7,3 September 1937 (USA),101 min,CM,2889,,,,,Three Days of the Condor,3.8/5,,,CM,293
0,41,G,Robert Wise,"Sci-Fi, Thriller",,The Andromeda Strain,7.2,12 March 1971 (USA),131 min,CM,1109,,,,,The LEGO Movie 2: The Second Part,3.7/5,,,CM,2173
1,42,Not Rated,Sidney Lumet,Drama,"$4,360,000 ",12 Angry Men,8.9,10 April 1957 (USA),96 min,CM,1576,NR,Sidney Lumet,"Classics,Drama",,12 Angry Men (Twelve Angry Men),4.2/5,13-Apr-57,95 minutes,CM,160
0,43,Approved,Robert Wise,"Horror, Thriller",,The Body Snatcher,7.4,October 1945 (UK),77 min,CM,2069,,,,,The Best of Enemies,5-Apr,,,CM,2102
0,44,R,Michael Bay,"Action, Adventure, Thriller","$134,069,511 ",The Rock,7.4,7 June 1996 (USA),136 min,CM,870,,,,,Ghost in the Shell,5-Apr,,,CM,1059
0,45,Approved,Stanley Kramer,"Drama, Romance, Sci-Fi","$11,000,000 ",On the Beach,7.2,17 December 1959 (USA),134 min,CM,1589,,,,,The Wild Pear Tree (Ahlat agaci),5-Apr,,,CM,2162
0,46,Unrated,Henry Koster,"Drama, History","$36,000,000 ",The Robe,6.8,4 December 1953 (France),135 min,CM,2321,,,,,The Five Obstructions,3.9/5,,,CM,2631
0,47,R,Kathryn Bigelow,"Drama, Thriller, War",,The Hurt Locker,7.6,31 July 2009 (USA),131 min,CM,273,,,,,The Brink,4.8/5,,,CM,2151
0,48,Not Rated,Raoul Walsh,"Adventure, Family, Fantasy","$4,360,000 ",The Thief of Bagdad,7.8,11 April 1924 (Brazil),155 min,CM,2560,,,,,The Wild Pear Tree (Ahlat agaci),5-Apr,,,CM,2162
0,49,PG,Michael Ritchie,"Comedy, Drama",,The Candidate,7.1,11 August 1972 (Ireland),110 min,CM,980,,,,,Donnie Darko: The Director's Cut,4.2/5,,,CM,3012
